fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20230923 013559	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3119	TRUE	279523	0.0607998403110701	0.426835735767249	1374	701	14999	598675000	38
20230923 025751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5626	TRUE	279523	0.0271531934701804	0.753083706905402	980	831	14489	601125000	39
20230923 042748	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4519	TRUE	279523	0.017682932917048	0.497760261504648	454	840	14973	618170000	40
20230923 051206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1724	TRUE	279523	0.0355100481800054	0.875848987027414	185	692	14998	620235000	41
20230923 054942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2042	TRUE	279523	0.0380476917138747	0.466421731882054	101	839	13693	595770000	42
20230923 060603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1058	TRUE	279523	0.135371487306384	0.999510449440027	1316	696	14719	592235000	43
20230923 065013	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1966	TRUE	279523	0.0416840113550634	0.987684288400042	205	569	14996	625275000	44
20230923 084304	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	8495	TRUE	279523	0.0200878466030127	0.991364131355755	493	226	15000	625800000	45
20230923 085346	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	735	TRUE	279523	0.270771567902624	0.999951703164941	2182	658	14032	559230000	46
20230923 090525	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2043	TRUE	279523	0.0293788725312555	0.997476883698407	9	26	12230	374990000	47
20230923 101809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	6461	TRUE	279523	0.0176520851890414	0.99398806382638	4103	249	14855	541975000	48
20230923 104422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3114	TRUE	279523	0.0582254876692072	0.798928695641947	26	213	14999	617715000	49
20230923 104509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1	TRUE	279523	0.247044162350289	0.972586897841059	2	223	14494	318570000	50
20230923 112529	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4014	TRUE	279523	0.0244721266828251	0.655482422075134	4	292	14997	606235000	51
20230923 122244	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3959	TRUE	279523	0.016393896952447	0.999731946972699	37	490	15000	613480000	52
20230923 132243	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	5979	TRUE	279523	0.0304595757679771	0.587449198685168	32	228	12993	591710000	53
20230923 133255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	831	TRUE	279523	0.176032194683841	0.903235295243867	2986	657	14984	552580000	54
20230923 133933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	408	TRUE	279523	0.299948934595718	0.964393644876611	1079	730	14077	563955000	55
20230923 140703	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2742	TRUE	279523	0.0411360319889703	0.93070238989624	489	255	14989	612185000	56
